"year","make","model","trim","body","transmission","vin","state","condition","odometer","color","interior","seller","mmr","sellingprice","saledate","saledate_clean"
2000,"Acura","Tl","3.2","Sedan","Automatic","19uua5663ya022038","fl",19,105420,"gold","beige","autonation toyota scion weston",2150,1100,"Tue Dec 23 2014 12:15:00 GMT-0800 (PST)",2014-12-23
2000,"Acura","Tl","3.2","Sedan","Automatic","19uua5663ya022038","fl",19,105431,"gold","tan","autonation toyota scion weston",2325,1000,"Tue Jan 27 2015 10:00:00 GMT-0800 (PST)",2015-01-27
2006,"Acura","Tl","Base","Sedan","Manual","19uua65596a059705","nj",26,89661,"white","brown","santander consumer",9025,8200,"Wed Jan 28 2015 01:30:00 GMT-0800 (PST)",2015-01-28
2006,"Acura","Tl","Base","Sedan","Manual","19uua65596a059705","nj",25,89741,"white","black","meridian remarketing",9100,8500,"Wed Mar 04 2015 01:30:00 GMT-0800 (PST)",2015-03-04
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66215a070166","ca",37,131725,"silver","gray","premium auto wholesale",6400,7800,"Thu Jan 15 2015 04:00:00 GMT-0800 (PST)",2015-01-15
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66215a070166","ca",37,131727,"silver","gray","premium auto wholesale",6600,6900,"Thu Jan 22 2015 04:00:00 GMT-0800 (PST)",2015-01-22
2008,"Acura","Tl","Base","Sedan","Automatic","19uua66228a015410","az",35,91649,"gray","black","earnhardt",10750,11000,"Thu Jan 15 2015 03:00:00 GMT-0800 (PST)",2015-01-15
2008,"Acura","Tl","Base","Sedan","Automatic","19uua66228a015410","az",23,92029,"gray","black","remarketing by ge/manheim phoenix",10200,9700,"Thu Feb 26 2015 03:00:00 GMT-0800 (PST)",2015-02-26
2008,"Acura","Tl","Base","Sedan","Other","19uua66228a024043","nc",37,78758,"white","tan","hendrick lexus",10750,12600,"Wed Feb 25 2015 06:00:00 GMT-0800 (PST)",2015-02-25
2008,"Acura","Tl","Base","Sedan","Other","19uua66228a024043","nc",48,78807,"white","beige","medlin buick gmc mazda",10950,13100,"Tue Mar 03 2015 01:15:00 GMT-0800 (PST)",2015-03-03
2004,"Acura","Tl","3.2","Sedan","Automatic","19uua66234a054081","ga",19,98662,"white","tan","capital one auto finance",6575,6500,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)",2015-02-24
2004,"Acura","Tl","3.2","Sedan","Automatic","19uua66234a054081","ga",28,98667,"white","tan","cameron motor sports",6425,7800,"Thu Feb 26 2015 02:00:00 GMT-0800 (PST)",2015-02-26
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66236a009984","fl",25,152599,"white","beige","d&a fine cars",6050,5200,"Tue Dec 30 2014 09:30:00 GMT-0800 (PST)",2014-12-30
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66236a009984","fl",21,152609,"white","tan","d&a fine cars",5750,5300,"Tue Jan 20 2015 01:20:00 GMT-0800 (PST)",2015-01-20
2007,"Acura","Tl","Base","Sedan","Automatic","19uua66247a017478","ca",19,129997,"white","black","onemain rem/m&m auto traders",7700,8200,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)",2014-12-18
2007,"Acura","Tl","Base","Sedan","Automatic","19uua66247a017478","ca",21,130077,"white","gray","onemain rem/m&m auto traders",8325,7600,"Wed Jan 14 2015 04:30:00 GMT-0800 (PST)",2015-01-14
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66255a066850","md",23,106312,"silver","black","lexus of silver spring",7275,7600,"Tue Jan 06 2015 01:30:00 GMT-0800 (PST)",2015-01-06
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66255a066850","md",2,106347,"gray","black","remarketing by ge/manheim baltimore washington",7550,4300,"Tue Feb 03 2015 05:00:00 GMT-0800 (PST)",2015-02-03
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66265a007242","ca",19,175649,"white","beige","800 loan mart",4250,3900,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)",2014-12-18
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66265a007242","ca",21,175653,"white","beige","meridian remarketing",4425,4000,"Thu Mar 05 2015 04:00:00 GMT-0800 (PST)",2015-03-05
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66275a034305","nc",21,154836,"gray","gray","hendrick honda",5400,5800,"Wed Jan 14 2015 06:30:00 GMT-0800 (PST)",2015-01-14
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66275a034305","nc",21,154944,"gray","gray","hendrick honda",5475,5650,"Wed Feb 04 2015 06:00:00 GMT-0800 (PST)",2015-02-04
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66276a059478","ga",25,127074,"white","tan","rick hendrick chevrolet",7050,7100,"Tue Jan 27 2015 05:00:00 GMT-0800 (PST)",2015-01-27
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66276a059478","ga",27,127079,"white","tan","autonation honda thornton road",7325,7300,"Tue Mar 03 2015 04:30:00 GMT-0800 (PST)",2015-03-03
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66286a007499","nc",28,158870,"blue","gray","crossroads infiniti south inc",5625,5700,"Mon Jan 05 2015 01:00:00 GMT-0800 (PST)",2015-01-05
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66286a007499","nc",37,158959,"blue","gray","primeritus remarketing/yem",5250,6900,"Mon Feb 09 2015 01:30:00 GMT-0800 (PST)",2015-02-09
2007,"Acura","Tl","Type-S","Sedan","Other","19uua76507a015601","pa",39,75280,"black","black","nextgear capital",14400,14500,"Fri May 22 2015 02:00:00 GMT-0700 (PDT)",2015-05-22
2007,"Acura","Tl","Type-S","Sedan","Other","19uua76507a015601","pa",39,75707,"Unknown","black","r hollenshead auto sales inc",14650,14600,"Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)",2015-06-05
2008,"Acura","Tl","Type-S","Sedan","Other","19uua76568a039063","pa",19,79728,"gray","tan","ahfc/honda lease trust/hvt  inc.",16450,13200,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2008,"Acura","Tl","Type-S","Sedan","Other","19uua76568a039063","pa",2,79732,"gray","gray","remarketing by ge/manheim pennsylvania",15300,12800,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a004577","ca",27,94185,"black","black","desert fleet lease",12100,12800,"Tue Dec 30 2014 12:30:00 GMT-0800 (PST)",2014-12-30
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a004577","ca",3,94382,"black","black","advanced fleet services",13350,12250,"Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)",2015-06-02
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a034498","ca",3,81418,"blue","black","remarketing by ge/billion dodge",12700,12000,"Wed Jan 28 2015 04:30:00 GMT-0800 (PST)",2015-01-28
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a034498","ca",3,81420,"blue","black","remarketing by ge/billion dodge",12950,11500,"Wed Feb 11 2015 04:30:00 GMT-0800 (PST)",2015-02-11
2008,"Acura","Tl","Type-S","Sedan","Automatic","19uua76588a041395","ny",29,94139,"gray","gray","santander consumer",14650,13000,"Wed Jan 28 2015 01:50:00 GMT-0800 (PST)",2015-01-28
2008,"Acura","Tl","Type-S","Sedan","Automatic","19uua76588a041395","nc",23,94204,"gray","black","t & k enterprises of mt airy inc",13800,14000,"Tue Feb 17 2015 02:00:00 GMT-0800 (PST)",2015-02-17
2009,"Acura","Tl","Base","Sedan","Automatic","19uua86299a003557","nj",37,95551,"black","tan","dover fcu",12900,11000,"Wed Jan 07 2015 09:30:00 GMT-0800 (PST)",2015-01-07
2009,"Acura","Tl","Base","Sedan","Automatic","19uua86299a003557","nj",28,95567,"black","tan","advanced auto brokers llc",13300,12800,"Wed Feb 11 2015 01:30:00 GMT-0800 (PST)",2015-02-11
2012,"Acura","Tl","Base","Sedan","Other","19uua8f21ca030789","pa",28,48516,"black","black","ahfc/honda lease/trust/hvt  inc. eot acuras",17750,16500,"Fri Jan 16 2015 01:00:00 GMT-0800 (PST)",2015-01-16
2012,"Acura","Tl","Base","Sedan","Other","19uua8f21ca030789","pa",45,48669,"black","black","tdaf remarketing",17750,18400,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2012,"Acura","Tl","Base","Sedan","Automatic","19uua8f25ca016667","ga",42,27246,"black","beige","ahfc/honda lease/trust/hvt  inc. eot acuras",19200,21400,"Thu Jan 15 2015 02:00:00 GMT-0800 (PST)",2015-01-15
2012,"Acura","Tl","Base","Sedan","Automatic","19uua8f25ca016667","tn",41,27563,"black","tan","meridian remarketing",18900,20200,"Wed Mar 04 2015 02:30:00 GMT-0800 (PST)",2015-03-04
2012,"Acura","Tl","Base","Sedan","Other","19uua8f29ca016672","nj",35,31356,"black","beige","ahfc/honda lease trust/hvt  inc acuras",18850,17900,"Wed Jan 28 2015 02:00:00 GMT-0800 (PST)",2015-01-28
2012,"Acura","Tl","Base","Sedan","Other","19uua8f29ca016672","pa",37,31391,"black","beige","carplex holdings llc",18650,19800,"Fri Mar 06 2015 01:15:00 GMT-0800 (PST)",2015-03-06
2012,"Acura","Tl","Technology Package","Sedan","Automatic","19uua8f51ca018250","pa",29,15303,"black","tan","ahfc/honda lease/trust/hvt  inc. eot acuras",22800,19000,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f51ca018250","pa",42,15702,"black","tan","best auto wholesale",22500,21900,"Fri Feb 13 2015 01:00:00 GMT-0800 (PST)",2015-02-13
2011,"Acura","Tl","Base","Sedan","Automatic","19uua8f58ba004103","ca",41,73501,"red","tan","arrowhead auto group inc",14750,15500,"Tue Dec 30 2014 15:00:00 GMT-0800 (PST)",2014-12-30
2011,"Acura","Tl","Base","Sedan","Automatic","19uua8f58ba004103","ca",25,73675,"red","gray","onemain rem/m&m auto traders",15900,16400,"Wed Feb 04 2015 04:30:00 GMT-0800 (PST)",2015-02-04
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f5xca019123","pa",22,57368,"black","gray","ahfc/honda lease/trust/hvt  inc. eot acuras",18550,17300,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f5xca019123","pa",19,57374,"black","gray","remarketing by ge/manheim pennsylvania",18350,16000,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Other","19uua9f53da001179","pa",29,1,"black","black","ahfc/honda lease trust/hvt  inc.",21100,4750,"Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)",2015-04-10
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Other","19uua9f53da001179","pa",38,13146,"black","black","ahfc/honda lease trust/hvt  inc acuras",29400,29600,"Fri Jan 16 2015 01:00:00 GMT-0800 (PST)",2015-01-16
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Automatic","19uua9f54da002485","nj",4,40909,"black","brown","wzs auto sales inc",24000,24000,"Wed Jan 21 2015 01:30:00 GMT-0800 (PST)",2015-01-21
